OBJECTID,RESORT,LIFT_NAME,TYPE,CAPACITY,BASE_ELEVATION,TOP_ELEVATION,COUNTY,Shape__Length
1,Brighton Ski Resort,Great Western Express,Detachable Chair,4,8763,10456,Salt Lake,2478.80687672546
2,Brighton Ski Resort,Explorer,Fixed Chair,4,8766,8888,Salt Lake,321.703565659039
3,Brighton Ski Resort,Crest Express,Detachable Chair,4,8779,9970,Salt Lake,2240.65097783746
4,Brighton Ski Resort,Milly Express,Detachable Chair,4,8747,9859,Salt Lake,1486.8427934486
5,Brighton Ski Resort,Snake Creek Express,Detachable Chair,4,9173,10148,Salt Lake,1774.1511941106
6,Brighton Ski Resort,Majestic,Fixed Chair,4,8786,9485,Salt Lake,1229.31183257506
7,Solitude Mountain Resort,Link,Fixed Chair,2,8100,8245,Salt Lake,487.007755812085
8,Solitude Mountain Resort,Moonbeam Express,Detachable Chair,4,8104,8770,Salt Lake,1160.33848097611
9,Solitude Mountain Resort,Sunrise,Fixed Chair,3,8215,9016,Salt Lake,1262.96734933102
10,Solitude Mountain Resort,Powder Horn,Detachable Chair,2,8678,9760,Salt Lake,1189.25369112349
11,Solitude Mountain Resort,Summit,Fixed Chair,2,8786,10003,Salt Lake,1953.83432205214
12,Solitude Mountain Resort,Eagle Express,Detachable Chair,4,8002,9327,Salt Lake,1856.68202202988
13,Solitude Mountain Resort,Honeycomb Return,Fixed Chair,4,8468,9127,Salt Lake,512.893646744448
14,Solitude Mountain Resort,Apex Express,Detachable Chair,4,8195,9032,Salt Lake,1158.7548679174
15,Alta Ski Area,Transfer Tow,Rope Tow,,8537,8645,Salt Lake,990.227463955471
16,Alta Ski Area,Wildcat,Fixed Chair,2,8546,9747,Salt Lake,1511.09705977855
17,Alta Ski Area,Sugarloaf,Detachable Chair,4,9199,10505,Salt Lake,1935.01034726047
18,Alta Ski Area,Supreme,Fixed Chair,3,9386,10462,Salt Lake,2026.4297970088
19,Alta Ski Area,Sunnyside,Detachable Chair,3,8648,9439,Salt Lake,1847.76079176837
20,Alta Ski Area,Albion,Fixed Chair,2,8651,9504,Salt Lake,1981.4223134842
21,Alta Ski Area,Collins,Detachable Chair,4,8537,10371,Salt Lake,2448.12488019621
22,Snowbird Ski and Summer Resort,Gad Zoom,Detachable Chair,4,7887,9705,Salt Lake,2590.2901658067
23,Snowbird Ski and Summer Resort,Mid Gad,Fixed Chair,3,7890,9196,Salt Lake,1635.36342784016
24,Snowbird Ski and Summer Resort,Wilbere,Fixed Chair,3,7976,8658,Salt Lake,810.962308790887
25,Snowbird Ski and Summer Resort,Baby Thunder,Fixed Chair,2,7756,8389,Salt Lake,748.362780142684
26,Snowbird Ski and Summer Resort,Tram,Tram,,8100,10945,Salt Lake,3167.25262446886
27,Snowbird Ski and Summer Resort,Little Cloud,Fixed Chair,4,9527,10823,Salt Lake,1280.52892631684
28,Snowbird Ski and Summer Resort,Mineral Basin Express,Detachable Chair,4,9527,10958,Utah,1273.44614095618
29,Snowbird Ski and Summer Resort,Baldy Express,Detachable Chair,4,9580,10538,Utah,1412.26213337485
30,Snowbird Ski and Summer Resort,Peruvian Express,Detachable Chair,4,8113,10508,Salt Lake,2994.44789235878
31,Snowbird Ski and Summer Resort,Tunnel,Tunnel,,10538,10558,Salt Lake,233.601640026209
32,Snowbird Ski and Summer Resort,Gad 2,Fixed Chair,4,8733,9974,Salt Lake,1526.61623587816
33,Park City,Super Condor Express,Detachable Chair,4,7218,8980,Summit,2446.46723380114
34,Park City,Sun Peak Express,Detachable Chair,4,7552,8600,Summit,1440.98864234945
35,Park City,Red Pine Gondola,Gondola,8,6913,8028,Summit,2615.91457626149
36,Park City,Short Cut,Fixed Chair,3,7949,8291,Summit,540.441712986041
37,Park City,Orange Bubble Express,Detachable Chair,6,6900,8400,Summit,3481.28614501207
38,Park City,Saddleback Express,Detachable Chair,4,8028,9117,Summit,1705.82364162021
39,Park City,High Meadow,Fixed Chair,4,8031,8320,Summit,786.315439096287
